hpt_res,features,best_model,search_method,error_method,idx
"{'arima': ({'p': 5, 'd': 2, 'q': 5}, 0.8932924404586299), 'holtwinters': ({'seasonal_periods': 7, 'trend': 'additive', 'damped': True, 'seasonal': 'multiplicative'}, 1.1487421012724528), 'prophet': ({'seasonality_prior_scale': 0.021544346900318832, 'changepoint_prior_scale': 1.0, 'changepoint_range': 0.8300000000000001, 'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 1.0053928457176178), 'theta': ({'m': 22}, 1.8919456782853137), 'stlf': ({'m': 7, 'method': 'quadratic'}, 0.7791960392007964), 'sarima': ({'p': 5, 'd': 2, 'q': 2, 'seasonal_order': '(1, 1, 1, 7)', 'trend': 'c'}, 0.8071585503955019)}","{'length': 68, 'mean': 0.35392156862745106, 'var': 0.04542971933871588, 'entropy': 0.8331791963221429, 'lumpiness': 0.0004608130182443952, 'stability': 0.01144002306805075, 'flat_spots': 2, 'hurst': 0.06796886485331141, 'std1st_der': 0.13820466216025304, 'crossing_points': 32, 'binarize_mean': 0.35294117647058826, 'unitroot_kpss': 0.2682920225972599, 'heterogeneity': 14.97785579143966, 'histogram_mode': 0.22133333333333335, 'linearity': 0.07965010047983717, 'trend_strength': 0.4292110651937945, 'seasonality_strength': 0.4428054111985723, 'spikiness': 1.4677394033321748e-07, 'peak': 4, 'trough': 0, 'level_shift_idx': 22, 'level_shift_size': 0.04133333333333328, 'y_acf1': 0.005626875187397393, 'y_acf5': 0.18528044604297295, 'diff1y_acf1': -0.5753256202379716, 'diff1y_acf5': 0.34273929549831694, 'diff2y_acf1': -0.6833082998614873, 'diff2y_acf5': 0.49424116851575106, 'y_pacf5': 0.21214628879725636, 'diff1y_pacf5': 0.8486391307766193, 'diff2y_pacf5': 5.088309464825462, 'seas_acf1': 0.212199004871598, 'seas_pacf1': 0.0711766378460464, 'firstmin_ac': 1, 'firstzero_ac': 12, 'holt_alpha': 0.12692411762878114, 'holt_beta': 0.0, 'hw_alpha': 0.23289088539673664, 'hw_beta': 0.0, 'hw_gamma': 0.18669542274455406}",stlf,RandomSearch,mape,N1402
"{'arima': ({'p': 5, 'd': 2, 'q': 1}, 0.39899580583227257), 'holtwinters': ({'seasonal_periods': 7, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'multiplicative'}, 0.6634787131227499), 'prophet': ({'seasonality_prior_scale': 4.6415888336127775, 'changepoint_prior_scale': 0.46415888336127775, 'changepoint_range': 0.9100000000000001, 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.444647087958389), 'theta': ({'m': 27}, 0.5319942787107911), 'stlf': ({'m': 24, 'method': 'linear'}, 0.5604658510052482), 'sarima': ({'p': 5, 'd': 1, 'q': 1, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'ct'}, 0.4068403956538869)}","{'length': 68, 'mean': 0.19995256166982928, 'var': 0.02779840014906617, 'entropy': 0.899968556641235, 'lumpiness': 0.00037700934552693013, 'stability': 0.0014030651282365178, 'flat_spots': 3, 'hurst': 0.03152082684089208, 'std1st_der': 0.1132238637252167, 'crossing_points': 33, 'binarize_mean': 0.3235294117647059, 'unitroot_kpss': 0.06785250682289297, 'heterogeneity': 4.481425610777934, 'histogram_mode': 0.11451612903225807, 'linearity': 0.0196595609270722, 'trend_strength': 0.3106637293073825, 'seasonality_strength': 0.3270209181906534, 'spikiness': 2.415776441718151e-07, 'peak': 5, 'trough': 2, 'level_shift_idx': 10, 'level_shift_size': 0.04677419354838708, 'y_acf1': 0.050633323170415925, 'y_acf5': 0.04781663369268919, 'diff1y_acf1': -0.519859531333781, 'diff1y_acf5': 0.3934722557393036, 'diff2y_acf1': -0.7023842263870399, 'diff2y_acf5': 0.7442034810264059, 'y_pacf5': 0.05570309571760293, 'diff1y_pacf5': 0.5396910098166935, 'diff2y_pacf5': 1.4079809420285618, 'seas_acf1': -0.08586610616252566, 'seas_pacf1': -0.06051225850428183, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.034220301659005074, 'holt_beta': 0.03225247986624208, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.2631578947368421}",arima,RandomSearch,mape,N1403
"{'arima': ({'p': 1, 'd': 2, 'q': 3}, 0.251950029588508), 'holtwinters': ({'seasonal_periods': 14, 'trend': 'additive', 'damped': True, 'seasonal': 'additive'}, 0.21516750190722864), 'prophet': ({'seasonality_prior_scale': 0.021544346900318832, 'changepoint_prior_scale': 0.046415888336127774, 'changepoint_range': 0.8500000000000001, 'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'seasonality_mode': 'additive'}, 0.22582273815136947), 'theta': ({'m': 24}, 0.22207132699468218), 'stlf': ({'m': 24, 'method': 'quadratic'}, 0.22475510251329317), 'sarima': ({'p': 3, 'd': 2, 'q': 5, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'c'}, 0.29086989413752506)}","{'length': 68, 'mean': 0.48962530217566486, 'var': 0.04550881779919366, 'entropy': 0.8067313280359377, 'lumpiness': 4.412213973340791e-05, 'stability': 0.014500749067743842, 'flat_spots': 2, 'hurst': -0.040535296537173526, 'std1st_der': 0.12986596607781492, 'crossing_points': 24, 'binarize_mean': 0.5294117647058824, 'unitroot_kpss': 0.05523617818167976, 'heterogeneity': 15.879275670635684, 'histogram_mode': 0.4493150684931507, 'linearity': 0.3284763305061422, 'trend_strength': 0.5240934702914571, 'seasonality_strength': 0.30534207843563, 'spikiness': 1.3121446794386038e-07, 'peak': 5, 'trough': 3, 'level_shift_idx': 24, 'level_shift_size': 0.03544520547945201, 'y_acf1': 0.3189484727842896, 'y_acf5': 0.4059548920866703, 'diff1y_acf1': -0.45166811982330224, 'diff1y_acf5': 0.2569623419825851, 'diff2y_acf1': -0.635493227537703, 'diff2y_acf5': 0.4988420518533361, 'y_pacf5': 0.23658974235969418, 'diff1y_pacf5': 0.5379746050410138, 'diff2y_pacf5': 1.3427924164777556, 'seas_acf1': 0.17315409184283073, 'seas_pacf1': -0.019451541459769718, 'firstmin_ac': 2, 'firstzero_ac': 18, 'holt_alpha': 0.044326517538680416, 'holt_beta': 0.04432651169851616, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.21052631578947367}",holtwinters,RandomSearch,mape,N1404
"{'arima': ({'p': 2, 'd': 1, 'q': 3}, 0.31468961684649976), 'holtwinters': ({'seasonal_periods': 4, 'trend': 'multiplicative', 'damped': False, 'seasonal': 'multiplicative'}, 0.2869743758056308), 'prophet': ({'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.0021544346900318843, 'changepoint_range': 0.9400000000000002, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.3272098769175079), 'theta': ({'m': 28}, 0.4114656538104265), 'stlf': ({'m': 30, 'method': 'quadratic'}, 0.2791534818908538), 'sarima': ({'p': 5, 'd': 1, 'q': 1, 'seasonal_order': '(1, 0, 2, 7)', 'trend': 'c'}, 0.2933928035385865)}","{'length': 68, 'mean': 0.2980870396939263, 'var': 0.04931265167998123, 'entropy': 0.6672108821166207, 'lumpiness': 0.00014907630469523193, 'stability': 0.026464394671797165, 'flat_spots': 1, 'hurst': 0.021439480012056627, 'std1st_der': 0.09496460401341837, 'crossing_points': 25, 'binarize_mean': 0.39705882352941174, 'unitroot_kpss': 0.19385317465738414, 'heterogeneity': 28.86097692707693, 'histogram_mode': 0.11317073170731708, 'linearity': 0.6028333444194146, 'trend_strength': 0.7411153007823663, 'seasonality_strength': 0.16681466570610448, 'spikiness': 8.613086152508731e-08, 'peak': 2, 'trough': 6, 'level_shift_idx': 38, 'level_shift_size': 0.041788617886178825, 'y_acf1': 0.6129826129330561, 'y_acf5': 1.6508831667018353, 'diff1y_acf1': -0.5154169499601218, 'diff1y_acf5': 0.33710163130458526, 'diff2y_acf1': -0.6928936565728475, 'diff2y_acf5': 0.6421224104758594, 'y_pacf5': 0.653385297217653, 'diff1y_pacf5': 0.5398959867472477, 'diff2y_pacf5': 1.6761892335798831, 'seas_acf1': 0.3303264076001011, 'seas_pacf1': -0.2175222457080154, 'firstmin_ac': 3, 'firstzero_ac': 23, 'holt_alpha': 7.155314381101905e-06, 'holt_beta': 0.0, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.15789473684210525}",stlf,RandomSearch,mape,N1405
"{'arima': ({'p': 3, 'd': 1, 'q': 1}, 0.1448053639954941), 'holtwinters': ({'seasonal_periods': 10, 'trend': 'multiplicative', 'damped': False, 'seasonal': 'additive'}, 0.16112036594925144), 'prophet': ({'seasonality_prior_scale': 0.046415888336127774, 'changepoint_prior_scale': 0.01, 'changepoint_range': 0.9200000000000002, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.14681566436053364), 'theta': ({'m': 3}, 0.1815414732721652), 'stlf': ({'m': 30, 'method': 'linear'}, 0.18455510979267253), 'sarima': ({'p': 4, 'd': 1, 'q': 4, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'c'}, 0.1614451007160276)}","{'length': 68, 'mean': 0.5336050082683677, 'var': 0.06590401502621149, 'entropy': 0.8230980141935016, 'lumpiness': 0.00012430320451943557, 'stability': 0.02178108007410752, 'flat_spots': 2, 'hurst': -0.04525842907767214, 'std1st_der': 0.1521661152831028, 'crossing_points': 21, 'binarize_mean': 0.47058823529411764, 'unitroot_kpss': 0.04872647323609227, 'heterogeneity': 8.916251345188705, 'histogram_mode': 0.23855421686746986, 'linearity': 0.3592311371003193, 'trend_strength': 0.5521855011175096, 'seasonality_strength': 0.33160767074428676, 'spikiness': 3.2684507558068123e-07, 'peak': 4, 'trough': 6, 'level_shift_idx': 20, 'level_shift_size': 0.034738955823293116, 'y_acf1': 0.32496138675521924, 'y_acf5': 0.4632190573401611, 'diff1y_acf1': -0.4668293151776271, 'diff1y_acf5': 0.23415607618693268, 'diff2y_acf1': -0.6398615293023154, 'diff2y_acf5': 0.4428790028325982, 'y_pacf5': 0.2552796343356383, 'diff1y_pacf5': 0.6140340656173736, 'diff2y_pacf5': 1.4694244747436658, 'seas_acf1': 0.207897169567939, 'seas_pacf1': 0.014250933732898114, 'firstmin_ac': 2, 'firstzero_ac': 22, 'holt_alpha': 6.3814607202331e-05, 'holt_beta': 0.0, 'hw_alpha': 7.091353750196221e-10, 'hw_beta': 9.69233689979584e-12, 'hw_gamma': 0.0}",arima,RandomSearch,mape,N1406
"{'arima': ({'p': 3, 'd': 2, 'q': 1}, 1.5493338652643847), 'holtwinters': ({'seasonal_periods': 10, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'multiplicative'}, 1.5586191877321467), 'prophet': ({'seasonality_prior_scale': 2.154434690031882, 'changepoint_prior_scale': 0.004641588833612777, 'changepoint_range': 0.9000000000000001, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.7061852596521682), 'theta': ({'m': 2}, 1.0407639658681238), 'stlf': ({'m': 4, 'method': 'theta'}, 1.2357836366756192), 'sarima': ({'p': 1, 'd': 2, 'q': 3, 'seasonal_order': '(0, 1, 1, 7)', 'trend': 't'}, 0.8712047466379073)}","{'length': 68, 'mean': 0.3277777777777776, 'var': 0.03893064633260712, 'entropy': 0.8543590363125061, 'lumpiness': 0.00017585797497341886, 'stability': 0.001948289119569396, 'flat_spots': 2, 'hurst': -0.037539172694920006, 'std1st_der': 0.12820488852884268, 'crossing_points': 38, 'binarize_mean': 0.4411764705882353, 'unitroot_kpss': 0.0360993787380933, 'heterogeneity': 7.137956642729476, 'histogram_mode': 0.2177777777777778, 'linearity': 0.033918090169860124, 'trend_strength': 0.2191494207222866, 'seasonality_strength': 0.2835611939986782, 'spikiness': 4.400935341712456e-07, 'peak': 1, 'trough': 5, 'level_shift_idx': 27, 'level_shift_size': 0.040000000000000036, 'y_acf1': -0.21159585878841577, 'y_acf5': 0.1409692200907438, 'diff1y_acf1': -0.6810105687114947, 'diff1y_acf5': 0.64448528131494, 'diff2y_acf1': -0.7941848739702798, 'diff2y_acf5': 0.8999017680253668, 'y_pacf5': 0.14831030960816322, 'diff1y_pacf5': 0.7595396888475774, 'diff2y_pacf5': 1.426373079361681, 'seas_acf1': -0.05035442801846759, 'seas_pacf1': -0.18950719322872897, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.13829867707419777, 'holt_beta': 0.13829812571065, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.15789473684210525}",prophet,RandomSearch,mape,N1407
"{'arima': ({'p': 1, 'd': 1, 'q': 3}, 0.3311657511473366), 'holtwinters': ({'seasonal_periods': 14, 'trend': 'additive', 'damped': True, 'seasonal': 'multiplicative'}, 0.2855642027832393), 'prophet': ({'seasonality_prior_scale': 0.021544346900318832, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8700000000000001, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.3410581341030845), 'theta': ({'m': 9}, 0.3379671676138703), 'stlf': ({'m': 30, 'method': 'prophet'}, 0.2594594380661725), 'sarima': ({'p': 2, 'd': 1, 'q': 2, 'seasonal_order': '(2, 0, 1, 7)', 'trend': 'c'}, 0.35861817316206684)}","{'length': 68, 'mean': 0.4580725907384231, 'var': 0.03797926381694263, 'entropy': 0.8965693900769288, 'lumpiness': 0.0002840295599950441, 'stability': 0.006884387712425258, 'flat_spots': 2, 'hurst': -0.025836955687153572, 'std1st_der': 0.13677842773494298, 'crossing_points': 28, 'binarize_mean': 0.4411764705882353, 'unitroot_kpss': 0.04917995366752869, 'heterogeneity': 3.7861351248280357, 'histogram_mode': 0.25106382978723407, 'linearity': 0.1758144121178856, 'trend_strength': 0.4135363512106023, 'seasonality_strength': 0.3173040792602213, 'spikiness': 1.256238209347639e-07, 'peak': 4, 'trough': 6, 'level_shift_idx': 18, 'level_shift_size': 0.02978723404255318, 'y_acf1': 0.1280854088727795, 'y_acf5': 0.09926092068947827, 'diff1y_acf1': -0.5073990538338847, 'diff1y_acf5': 0.36001065100668944, 'diff2y_acf1': -0.6519177497226641, 'diff2y_acf5': 0.5885588666890399, 'y_pacf5': 0.09532383642587641, 'diff1y_pacf5': 0.5107088063244453, 'diff2y_pacf5': 0.9726462528039184, 'seas_acf1': 0.052396756772493676, 'seas_pacf1': 0.02082776069260127, 'firstmin_ac': 1, 'firstzero_ac': 4, 'holt_alpha': 8.260942189265606e-09, 'holt_beta': 0.0, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.15789473684210525}",stlf,RandomSearch,mape,N1408
"{'arima': ({'p': 2, 'd': 2, 'q': 2}, 0.36625698584698474), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'additive', 'damped': False, 'seasonal': 'additive'}, 0.494838367868274), 'prophet': ({'seasonality_prior_scale': 1.0, 'changepoint_prior_scale': 0.001, 'changepoint_range': 0.8400000000000001, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.4391283690475604), 'theta': ({'m': 19}, 0.4434796959334342), 'stlf': ({'m': 24, 'method': 'linear'}, 0.43896189393386986), 'sarima': ({'p': 5, 'd': 2, 'q': 5, 'seasonal_order': '(2, 0, 1, 7)', 'trend': 't'}, 0.3951155189178646)}","{'length': 68, 'mean': 0.3648723640399555, 'var': 0.037187300212736876, 'entropy': 0.8964421386134929, 'lumpiness': 0.00018798846871562384, 'stability': 0.000721466837316041, 'flat_spots': 2, 'hurst': -0.006827073311624574, 'std1st_der': 0.13944677158663385, 'crossing_points': 26, 'binarize_mean': 0.39705882352941174, 'unitroot_kpss': 0.08285788840839974, 'heterogeneity': 6.650066999451535, 'histogram_mode': 0.3132075471698113, 'linearity': 0.005422418339054726, 'trend_strength': 0.22814445478864964, 'seasonality_strength': 0.35830064536537753, 'spikiness': 3.5434365850286204e-07, 'peak': 4, 'trough': 0, 'level_shift_idx': 38, 'level_shift_size': 0.04528301886792446, 'y_acf1': -0.08337928613939558, 'y_acf5': 0.027129897912917693, 'diff1y_acf1': -0.5545387628961201, 'diff1y_acf5': 0.3418069024557213, 'diff2y_acf1': -0.7096966591778179, 'diff2y_acf5': 0.605601494632974, 'y_pacf5': 0.02720261613779781, 'diff1y_pacf5': 0.5189834819465898, 'diff2y_pacf5': 1.11530142627344, 'seas_acf1': -0.003056724233110834, 'seas_pacf1': -0.02669032731486457, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.0031258415537987905, 'holt_beta': 0.0, 'hw_alpha': 0.00046650852952582464, 'hw_beta': 1.3233734776599781e-08, 'hw_gamma': 0.0}",arima,RandomSearch,mape,N1409
"{'arima': ({'p': 3, 'd': 2, 'q': 3}, 0.30169690295410223), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'multiplicative'}, 0.45942183183852014), 'prophet': ({'seasonality_prior_scale': 0.1, 'changepoint_prior_scale': 0.01, 'changepoint_range': 0.8500000000000001, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'seasonality_mode': 'additive'}, 0.29642997396111326), 'theta': ({'m': 2}, 0.4500720431692802), 'stlf': ({'m': 24, 'method': 'theta'}, 0.5083180146276681), 'sarima': ({'p': 1, 'd': 2, 'q': 3, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 't'}, 0.3012028995731294)}","{'length': 68, 'mean': 0.4978318250377075, 'var': 0.03152296802379149, 'entropy': 0.8306439628174641, 'lumpiness': 3.2045448947125815e-05, 'stability': 0.0018741635983201724, 'flat_spots': 2, 'hurst': -0.013996079656864616, 'std1st_der': 0.14611906371750075, 'crossing_points': 28, 'binarize_mean': 0.45588235294117646, 'unitroot_kpss': 0.08285008939178562, 'heterogeneity': 9.55112927048144, 'histogram_mode': 0.4009615384615385, 'linearity': 2.8832629495222043e-05, 'trend_strength': 0.31165795306477195, 'seasonality_strength': 0.33150120616440626, 'spikiness': 9.758367392620779e-08, 'peak': 4, 'trough': 6, 'level_shift_idx': 45, 'level_shift_size': 0.029487179487179382, 'y_acf1': 0.22613797278645506, 'y_acf5': 0.13747154532492661, 'diff1y_acf1': -0.1914309879396819, 'diff1y_acf5': 0.30805516590595017, 'diff2y_acf1': -0.404440247596163, 'diff2y_acf5': 0.3526848472079774, 'y_pacf5': 0.20169804368757532, 'diff1y_pacf5': 0.4132044320069903, 'diff2y_pacf5': 0.7806703817877926, 'seas_acf1': -0.07022922588683106, 'seas_pacf1': -0.10673475272358655, 'firstmin_ac': 2, 'firstzero_ac': 2, 'holt_alpha': 0.0023069398410850133, 'holt_beta': 0.0013737434301733886, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.21052631578947367}",prophet,RandomSearch,mape,N1410
"{'arima': ({'p': 4, 'd': 2, 'q': 1}, 0.16296382104882398), 'holtwinters': ({'seasonal_periods': 30, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'additive'}, 0.2684920872493378), 'prophet': ({'seasonality_prior_scale': 0.1, 'changepoint_prior_scale': 0.046415888336127774, 'changepoint_range': 0.9000000000000001, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'seasonality_mode': 'additive'}, 0.1517860799226189), 'theta': ({'m': 13}, 0.23549200136118364), 'stlf': ({'m': 24, 'method': 'quadratic'}, 0.19681766210505008), 'sarima': ({'p': 4, 'd': 2, 'q': 3, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'c'}, 0.14733833038978839)}","{'length': 68, 'mean': 0.5361828184511214, 'var': 0.02532383493021371, 'entropy': 0.8527216176568727, 'lumpiness': 0.0001568487464297922, 'stability': 0.0011662274074096595, 'flat_spots': 1, 'hurst': -0.0144632665199228, 'std1st_der': 0.11504911674192163, 'crossing_points': 32, 'binarize_mean': 0.5, 'unitroot_kpss': 0.05038069650281047, 'heterogeneity': 15.359441638239849, 'histogram_mode': 0.42422062350119905, 'linearity': 0.013153894680433454, 'trend_strength': 0.344816896242658, 'seasonality_strength': 0.2688027379403817, 'spikiness': 8.011717346417459e-08, 'peak': 1, 'trough': 5, 'level_shift_idx': 5, 'level_shift_size': 0.03069544364508392, 'y_acf1': 0.2973296700919556, 'y_acf5': 0.1335668860015733, 'diff1y_acf1': -0.26403458201576935, 'diff1y_acf5': 0.11188061679691777, 'diff2y_acf1': -0.5427885176980617, 'diff2y_acf5': 0.30033520086753535, 'y_pacf5': 0.13337214688081098, 'diff1y_pacf5': 0.25736455913808615, 'diff2y_pacf5': 0.8965920676063273, 'seas_acf1': -0.26645484214295145, 'seas_pacf1': -0.25736960695237976, 'firstmin_ac': 3, 'firstzero_ac': 2, 'holt_alpha': 4.59763100013772e-09, 'holt_beta': 5.057286646194942e-10, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.15789473684210525}",sarima,RandomSearch,mape,N1411
